iter	MultiClass
0	1.080561923
1	1.064647309
2	1.050699054
3	1.037803009
4	1.025114732
5	1.013288591
6	1.003241651
7	0.9930034344
8	0.9829405657
9	0.9740213692
10	0.9655686445
11	0.9577872633
12	0.9504206617
13	0.9431899496
14	0.9361963785
15	0.9302184415
16	0.9240672268
17	0.9179813433
18	0.91227638
19	0.9065875704
20	0.9016078989
21	0.8967953405
22	0.8923263498
23	0.8878877897
24	0.8834514911
25	0.8794345867
26	0.8753166616
27	0.871791254
28	0.867484493
29	0.8642660992
30	0.8603677059
31	0.8568463553
32	0.853423191
33	0.8498428279
34	0.8466449548
35	0.843791783
36	0.8411339414
37	0.8382497525
38	0.8354606693
39	0.832387504
40	0.8295317748
41	0.8271908291
42	0.8245617181
43	0.8221867671
44	0.819639955
45	0.8171016528
46	0.8147650719
47	0.8124753258
48	0.810006911
49	0.8077943123
50	0.8055786072
51	0.8031792527
52	0.8011088766
53	0.7991400964
54	0.7972002286
55	0.7952839667
56	0.7932350498
57	0.7913764608
58	0.7893411221
59	0.7874841059
60	0.7857469711
61	0.7837470792
62	0.7820842246
63	0.7805514933
64	0.7786908598
65	0.7770188149
66	0.7754153486
67	0.7735842802
68	0.7721459349
69	0.7706778226
70	0.7692584157
71	0.7677985032
72	0.7660367766
73	0.7646251183
74	0.7626496771
75	0.7609986152
76	0.7593772583
77	0.7580249935
78	0.7564803999
79	0.75518983
80	0.7538462467
81	0.7528186761
82	0.7513784317
83	0.7502044189
84	0.7491254396
85	0.7479931941
86	0.7465666466
87	0.7451966216
88	0.7440045268
89	0.742959056
90	0.7417557196
91	0.7406636457
92	0.7394875334
93	0.738405403
94	0.7374424927
95	0.7358997786
96	0.7345155235
97	0.733542372
98	0.7325277247
99	0.731355301
100	0.7302866229
101	0.7291035864
102	0.7279297526
103	0.7267900793
104	0.72577132
105	0.724862374
106	0.7238853475
107	0.7230884395
108	0.7221611611
109	0.721073996
110	0.7199245225
111	0.7188154734
112	0.717915057
113	0.7172147974
114	0.7163503661
115	0.7154179898
116	0.7144581115
117	0.7135066459
118	0.712558325
119	0.7116548616
120	0.7108646913
121	0.7098237022
122	0.7089112001
123	0.7079921278
124	0.7070755553
125	0.706360213
126	0.7056141974
127	0.7046684326
128	0.7038027908
129	0.7027997867
130	0.7020380727
131	0.7011185133
132	0.7002467401
133	0.6994247678
134	0.6985724025
135	0.6978956322
136	0.6971378604
137	0.696305813
138	0.6954427052
139	0.6948034221
140	0.6939921585
141	0.693280554
142	0.6925432351
143	0.6919063569
144	0.6912161981
145	0.6907714456
146	0.6901289826
147	0.689488123
148	0.6889422931
149	0.6883126228
150	0.6876480435
151	0.6869236382
152	0.6862371523
153	0.6854051628
154	0.6846786681
155	0.6840016873
156	0.6833150145
157	0.6828493451
158	0.6822150611
159	0.6816641819
160	0.6811394923
161	0.6804873529
162	0.6799118628
163	0.6792282373
164	0.6784716297
165	0.6778373056
166	0.6771942756
167	0.6764786526
168	0.6759047878
169	0.6752910551
170	0.6746067642
171	0.6739797771
172	0.6735639288
173	0.6730006262
174	0.672340283
175	0.6717733953
176	0.6713349416
177	0.6706949571
178	0.6701544433
179	0.6696076786
180	0.6688196761
181	0.6683636271
182	0.6676960643
183	0.6671537994
184	0.6665894629
185	0.6661401215
186	0.6655853763
187	0.6650548109
188	0.6644508583
189	0.6639966212
190	0.6632424363
191	0.6625567121
192	0.6621525683
193	0.6614992898
194	0.6609986158
195	0.6604158455
196	0.6599222434
197	0.6595203302
198	0.6589175263
199	0.6583925941
200	0.6578567667
201	0.6573165313
202	0.6567479835
203	0.6562831953
204	0.6558259809
205	0.6552686527
206	0.6547721794
207	0.6542227299
208	0.6537616121
209	0.6533230122
210	0.6529073713
211	0.6522453268
212	0.6517085201
213	0.6511627242
214	0.6507088691
215	0.6500677413
216	0.6496286309
217	0.6491009613
218	0.6487424732
219	0.6482733511
220	0.647778391
221	0.6473847114
222	0.6469872534
223	0.6465770085
224	0.6460850604
225	0.6455606375
226	0.6450244193
227	0.6445662122
228	0.6440494901
229	0.6436318516
230	0.643192158
231	0.6428328523
232	0.6424633341
233	0.6419660769
234	0.6414685465
235	0.6410448173
236	0.6406523999
237	0.6402284997
238	0.6397480128
239	0.6394340502
240	0.63890268
241	0.6385558258
242	0.638118822
243	0.6377148971
244	0.6372800556
245	0.6369253466
246	0.6362844216
247	0.6357396823
248	0.6352050263
249	0.6348712179
250	0.6344587312
251	0.6340423128
252	0.6337265163
253	0.6333874054
254	0.6329825464
255	0.6326071074
256	0.63234981
257	0.631960728
258	0.6316530482
259	0.6311554896
260	0.6307726364
261	0.6303974521
262	0.6300206781
263	0.629729133
264	0.6293578043
265	0.6289511143
266	0.6286366341
267	0.6283683471
268	0.627984774
269	0.6277069939
270	0.6273149211
271	0.6269610468
272	0.6265084082
273	0.6260387806
274	0.62571557
275	0.6252419746
276	0.6247624962
277	0.6243632345
278	0.6239971226
279	0.6236140897
280	0.6231642926
281	0.6227546801
282	0.6223507935
283	0.6219918445
284	0.621695658
285	0.6212866157
286	0.6208110364
287	0.6204627919
288	0.6201630646
289	0.6198784321
290	0.6194907062
291	0.6191520552
292	0.6188001977
293	0.6184878208
294	0.6182754885
295	0.6178812036
296	0.617568226
297	0.6172833733
298	0.6168557006
299	0.6164768205
300	0.6161911216
301	0.6158420568
302	0.6156074922
303	0.615283667
304	0.6150461636
305	0.6148314075
306	0.6146238437
307	0.6143309132
308	0.6140650161
309	0.6138672463
310	0.6135592694
311	0.6132679511
312	0.6130431326
313	0.6128391175
314	0.6124501945
315	0.6120569399
316	0.6118116957
317	0.6115515905
318	0.6112437806
319	0.6109226734
320	0.6106748349
321	0.6104228077
322	0.6101362399
323	0.6099076514
324	0.6097730039
325	0.6094764539
326	0.6091851578
327	0.6089106346
328	0.6086090829
329	0.6084621678
330	0.6081749178
331	0.607878259
332	0.6076223958
333	0.6073505548
334	0.6070861796
335	0.6068910918
336	0.6066897943
337	0.6064448161
338	0.6061798394
339	0.605973187
340	0.6057060908
341	0.6055115433
342	0.6052022069
343	0.6049417102
344	0.6047711202
345	0.6044331161
346	0.6041816291
347	0.6041042028
348	0.6037895794
349	0.6035183964
350	0.6033232807
351	0.6029379452
352	0.6027362268
353	0.6025028506
354	0.6023150423
355	0.602118308
356	0.6018706093
357	0.6016832955
358	0.6015569358
359	0.6013963497
360	0.6012119903
361	0.6010564827
362	0.6006842457
363	0.6003393942
364	0.5999742138
365	0.5997391319
366	0.5995302567
367	0.5993520898
368	0.5990417895
369	0.5988017075
370	0.5986151169
371	0.598477789
372	0.5981324046
373	0.5978625554
374	0.5977637913
375	0.5975292673
376	0.597232858
377	0.5969786084
378	0.596755498
379	0.5965538567
380	0.5962726645
381	0.5959974525
382	0.5957880699
383	0.5954787065
384	0.5952838469
385	0.5951006521
386	0.5947953382
387	0.5945544739
388	0.5943612205
389	0.5941951045
390	0.593942246
391	0.5937955587
392	0.593597622
393	0.5933593402
394	0.5930847042
395	0.5929111697
396	0.5927260091
397	0.5925177837
398	0.5922927418
399	0.5921156976
400	0.591891183
401	0.5916223347
402	0.5913688651
403	0.5912262947
404	0.5909527101
405	0.5907645941
406	0.590643723
407	0.5904610368
408	0.5902614301
409	0.5900769549
410	0.5898734591
411	0.5897228923
412	0.5895434202
413	0.5894041637
414	0.5892144708
415	0.5890993469
416	0.5887911527
417	0.5886271286
418	0.5884790158
419	0.5882966537
420	0.5880394664
421	0.5878860553
