iter	Passed	Remaining
0	957	956437
1	1732	864571
2	2424	805860
3	3023	752821
4	3632	722886
5	4211	697641
6	4753	674278
7	5331	661098
8	5928	652763
9	6470	640538
10	7043	633309
11	7594	625300
12	8220	624135
13	8794	619390
14	9333	612915
15	9870	607046
16	10454	604508
17	10990	599572
18	11538	595759
19	12066	591250
20	12618	588242
21	13241	588643
22	13889	590012
23	14578	592855
24	15134	590236
25	15661	586692
26	16198	583750
27	16739	581090
28	17280	578612
29	17830	576535
30	18356	573789
31	18891	571482
32	19416	568972
33	19938	566484
34	20482	564719
35	21030	563160
36	21555	561033
37	22074	558845
38	22697	559283
39	23234	557630
40	23783	556291
41	24309	554495
42	24842	552896
43	25373	551300
44	25908	549835
45	26441	548372
46	26957	546605
47	27486	545142
48	28021	543854
49	28557	542601
50	29088	541265
51	29617	539953
52	30150	538728
53	30687	537596
54	31207	536200
55	31746	535149
56	32277	533987
57	32822	533087
58	33352	531937
59	33875	530711
60	34404	529599
61	34932	528497
62	35485	527781
63	36003	526554
64	36546	525702
65	37064	524523
66	37574	523243
67	38105	522267
68	38617	521050
69	39136	519962
70	39679	519192
71	40188	517991
72	40711	516984
73	41244	516115
74	41761	515053
75	42294	514213
76	42841	513537
77	43375	512718
78	43894	511729
79	44422	510854
80	44939	509865
81	45457	508905
82	45992	508135
83	46515	507242
84	47062	506615
85	47609	505984
86	48126	505049
87	48653	504222
88	49173	503334
89	49690	502421
90	50213	501587
91	50737	500755
92	51266	499983
93	51787	499142
94	52320	498422
95	52850	497674
96	53386	496986
97	53903	496131
98	54430	495371
99	54956	494609
100	55477	493803
101	56009	493099
102	56546	492445
103	57064	491628
104	57578	490784
105	58189	490771
106	58728	490133
107	59239	489273
108	59753	488443
109	60273	487670
110	60808	487015
111	61385	486702
112	61904	485926
113	62427	485182
114	62976	484648
115	63494	483872
116	64049	483379
117	64564	482590
118	65079	481807
119	65597	481051
120	66107	480236
121	66626	479492
122	67142	478730
123	67668	478044
124	68176	477235
125	68680	476404
126	69193	475634
127	69721	474980
128	70264	474419
129	70788	473740
130	71314	473072
131	71823	472296
132	72376	471807
133	72899	471124
134	73423	470456
135	73931	469685
136	74441	468925
137	74958	468220
138	75472	467492
139	75998	466850
140	76517	466162
141	77038	465486
142	77547	464744
143	78058	464012
144	78570	463294
145	79091	462633
146	79610	461960
147	80131	461300
148	80655	460659
149	81169	459959
150	81681	459253
151	82206	458623
152	82703	457843
153	83243	457300
154	83760	456628
155	84270	455923
156	84778	455209
157	85299	454571
158	85822	453944
159	86357	453374
160	86875	452722
161	87393	452070
162	87915	451443
163	88443	450847
164	88967	450228
165	89499	449651
166	90006	448953
167	90521	448295
168	91054	447728
169	91579	447122
170	92120	446596
171	92647	445998
172	93173	445402
173	93679	444706
174	94195	444065
175	94726	443492
176	95242	442852
177	95779	442309
178	96310	441736
179	96854	441223
180	97392	440689
181	97936	440175
182	98443	439498
183	98964	438888
184	99500	438341
185	100011	437684
186	100532	437073
187	101076	436562
188	101587	435914
189	102089	435222
190	102621	434664
191	103184	434235
192	103716	433673
193	104243	433096
194	104759	432466
195	105257	431770
196	105793	431230
197	106321	430656
198	106830	430007
199	107364	429457
200	107900	428917
201	108424	428330
202	108959	427784
203	109498	427257
204	110017	426654
205	110605	426313
206	111134	425747
207	111649	425126
208	112174	424546
209	112695	423948
210	113224	423385
211	113740	422769
212	114248	422130
213	114779	421571
214	115287	420933
215	115809	420344
216	116357	419853
217	116873	419243
218	117383	418613
219	117901	418015
220	118432	417461
221	118950	416861
222	119463	416245
223	119974	415627
224	120506	415077
225	121033	414514
226	121558	413939
227	122065	413308
228	122575	412688
229	123091	412089
230	123609	411496
231	124127	410905
232	124670	410397
233	125190	409812
234	125707	409217
235	126224	408623
236	126730	407996
237	127258	407440
238	127766	406820
239	128305	406300
240	128844	405780
241	129352	405161
242	129868	404568
243	130398	404022
244	130907	403407
245	131435	402856
246	131952	402266
247	132459	401652
248	132988	401100
249	133493	400481
250	134032	399961
251	134547	399371
252	135065	398789
253	135620	398317
254	136138	397738
255	136657	397161
256	137177	396586
257	137682	395969
258	138220	395448
259	138731	394850
260	139260	394305
261	139777	393725
262	140297	393152
263	140808	392558
264	141351	392049
265	141867	391467
266	142382	390885
267	142897	390301
268	143424	389752
269	143937	389163
270	144469	388629
271	145008	388112
272	145581	387682
273	146088	387081
274	146631	386574
275	147181	386085
276	147707	385532
277	148230	384972
278	148781	384486
279	149307	383934
280	149836	383388
281	150370	382859
282	150891	382294
283	151405	381711
284	151910	381109
285	152446	380584
286	152963	380010
287	153476	379427
288	154000	378873
289	154499	378257
290	155016	377687
291	155549	377155
292	156076	376607
293	156602	376058
294	157115	375480
295	157618	374876
296	158129	374291
297	158642	373715
298	159160	373149
299	159661	372542
300	160195	372015
301	160712	371448
302	161226	370873
303	161746	370313
304	162258	369735
305	162825	369283
306	163361	368761
307	163867	368169
308	164366	367564
309	164878	366987
310	165389	366409
311	165891	365812
312	166405	365241
313	166946	364729
314	167457	364152
315	167967	363574
316	168487	363018
